hgm	v	f_veg	f_h20	f_h40	f_h60	f_h80	f_h95	f_p20	f_p40	f_p60	f_p80	f_p95	cont_1	corr_1	savg_1	svar_1
24.5	448.02	23.022	17.071	19.595	21.711	23.192	25.713	30.841	50.467	69.159	85.047	97.196	24.92720604	0.139406398	9.824999809	105.7006454
17.11	151.15	27.5	7.824	10.614	12.655	13.614	15.664	34.483	55.172	72.414	87.356	97.701	13.41973209	0.227271259	15.59794998	228.3505402
17.04	127.91	33.898	10.791	12.22	13.729	14.5	15.65	33.333	52.564	70.513	85.897	97.436	1.869899631	0.16635792	10.28706551	93.66163635
16.05	183.67	6.25	8.235	11.385	13.596	15.895	17.796	39.487	59.487	75.385	88.718	97.436	15.75944519	0.340132743	12.34288025	154.1056519
14.68	120.85	35.714	9.761	12.191	13.94	15.551	17.691	36.111	55.556	72.222	87.5	97.222	26.45797348	0.1379015	12.6251545	162.6311188
21.55	257.39	17.361	16.338	18.25	20.138	21.101	22.509	33.613	52.101	69.748	85.714	96.639	4.270587921	0.221024394	13.59322453	165.2233276
19.7	202.03	21.875	10.735	12.554	14.085	15.524	17.243	32	52	70	86	97	13.1053896	0.203420013	12.56027031	148.3671417
19.83	226.02	25.517	13.631	14.863	16.002	17.422	18.403	27.778	48.148	66.667	84.259	96.296	8.024037361	0.045012496	14.35928631	185.8345642
13.43	200.23	6.55	10.792	12.031	13.4	14.831	16.532	28.972	49.533	68.224	85.514	96.729	11.71442986	0.28826505	13.92025948	182.0499115
19.85	390.99	15.672	15.068	16.808	18.086	19.768	22.027	29.204	49.558	68.142	84.956	96.46	21.56123734	0.16962795	13.13249779	170.1983185
8.8	97.79	30.702	7.461	8.291	8.881	10.181	11.211	26.582	48.101	67.089	84.81	97.468	10.07448196	0.004766459	14.51209164	190.6334229
15.9	172.62	34.694	11.51	12.842	13.751	14.792	16.07	28.125	48.438	67.188	84.375	96.875	9.612508774	0.157294661	13.30864334	161.4811707
19.5	267.5	23.6	11.1	13.761	16.772	18.371	20.901	32.461	53.927	71.728	86.911	97.382	15.42483139	0.221126944	12.93645	160.4363708
15.7	157.25	33.333	10.865	12.176	13.306	14.346	16.525	29.268	50	68.293	85.366	97.561	14.45602989	0.209615842	12.85588264	156.8974304
17.64	217.73	25.439	10.781	12.273	13.551	14.602	16.011	28.235	49.412	68.235	84.706	96.471	4.760098934	0.10628964	12.74215031	145.3815155
10.78	92.4	26.667	6.205	7.304	8.255	9.485	11.235	30.303	51.515	70.707	86.869	96.97	7.476320267	0.044648666	14.02950954	177.375061
12.58	131.97	21.531	7.038	8.868	9.828	10.709	12.208	31.707	52.439	70.122	85.976	96.951	10.60836887	0.041275777	14.54255867	191.8256836
14.35	110.3	45.69	10.151	11.421	12.63	13.86	15.021	30.159	50.794	69.841	85.714	96.825	8.179751396	0.491066635	11.09485817	121.6487503
20.2	101.66	42.636	13.771	15.551	16.841	18.86	20.15	39.189	56.757	72.973	87.838	97.297	14.0687151	0.155125782	12.31389236	142.0805969
27	372.73	20.661	12.21	16.71	20.809	23.378	25.218	38.542	59.375	75	88.542	97.917	29.37584686	0.244837776	14.16852665	211.2462769
12.23	138.89	27.007	7.853	8.991	10.402	11.363	12.073	34	54	71	86	97	17.13801575	0.203077376	13.33377075	171.160553
14.8	171.29	28.512	10.234	11.505	12.504	13.613	15.103	27.168	47.977	67.052	84.971	96.532	10.11784554	0.061973482	14.22588921	183.3237457
16.5	187.18	21.739	11.399	12.65	14.24	14.961	15.611	31.111	51.111	68.889	85.556	96.667	13.70728302	0.138952985	14.89753342	205.7317352
10.33	118.35	23.77	6.667	7.567	8.458	9.078	10.737	29.032	50.538	68.817	86.022	96.774	7.446698189	0.326197803	15.27926731	215.1363373
11.95	169.65	12.444	8.529	10.349	11.079	12	13.079	33.503	52.792	69.543	85.787	96.954	8.373778343	0.257880211	17.26775169	275.2440186
15.33	151.68	21.61	8.125	10.216	11.437	12.805	14.285	34.595	54.595	71.351	87.027	97.297	11.5462532	0.164421916	15.07359886	209.0074768
18.77	234.58	22.556	12.084	14.284	16.133	17.893	19.883	37.379	56.311	72.816	87.379	97.087	24.9383831	0.124104507	11.16691685	129.3698578
24.24	352.35	22.807	16.759	18.179	19.498	21.088	23.129	27.273	47.727	66.364	84.091	96.364	7.266051292	0.537037075	12.19256115	144.0022125
14.6	170.02	7.08	9.939	11.349	12.601	14.139	16.019	31.429	51.429	69.524	86.19	97.143	7.018404007	0.284770489	14.61888504	196.2411652
14.45	212.64	4.869	10.699	11.98	13.309	14.868	16.449	28.346	49.213	68.504	85.433	96.85	5.088228226	0.254596114	14.62611103	192.5160065
13.55	266.95	5.882	10.991	12.03	13.101	14.799	16.56	30.357	50.893	69.643	85.714	97.321	6.585368156	0.108908802	12.44378757	138.6347961
22.72	286.21	21.212	15.697	17.296	18.216	19.697	21.066	36.538	53.846	70.192	86.538	97.115	12.3742485	0.107285626	13.66074848	170.8728485
15.42	116.71	13.415	7.048	8.51	9.799	13.018	19.739	32.864	55.399	74.178	89.671	98.122	9.139969826	0.277110159	17.41074753	281.9173584
17.34	220.02	24.299	11.576	13.757	15.266	16.545	18.467	30.864	51.852	69.136	86.42	97.531	5.350759983	0.354425162	14.79301929	200.1858063
23	285.15	26.241	16.061	18.451	19.531	20.691	22.301	29.808	50	67.308	84.615	97.115	7.649218559	0.135877758	11.95238304	128.5023804
25.82	286.36	16.105	19.229	20.769	22.307	24.637	26.817	31.696	50.893	68.75	85.268	96.875	7.525568962	0.358429909	14.25504494	187.9708252
10.46	58.5	24.324	5.071	5.922	6.681	8.07	9.432	32.143	53.571	71.429	88.095	97.619	6.627414227	0.047799546	15.07538795	205.9009094
8.8	56.1	39.375	6.13	6.889	7.608	8.75	9.718	29.897	50.515	69.072	86.598	96.907	4.547420025	0.152366266	14.32224655	184.6467743
9.33	52.12	19.917	5.424	6.385	7.545	8.764	9.524	30.052	51.813	70.466	86.528	96.891	9.956144333	0.211887509	16.79862022	260.6662903
9.75	112.07	22.222	8.598	9.259	10.478	11.789	13.649	29.524	50.476	69.524	85.714	97.143	11.34018803	0.138889372	11.68412876	125.3270645
9.1	77.32	32.143	6.232	6.791	7.411	8.151	9.112	27.632	48.684	67.105	85.526	97.368	1.970353484	0.115344405	12.22050762	133.55896
28.52	380.78	19.481	16.998	20.218	22.929	24.749	26.628	41.398	58.602	74.194	87.634	97.312	13.97882652	0.258414567	13.55213833	175.284317
24.18	282.5	21.008	17.408	19.747	21.477	23.127	24.347	46.277	61.702	75.532	88.298	97.34	7.823694706	0.323297679	14.78209686	201.1631775
6.7	55.3	26.613	4.662	5.182	5.461	6.252	7.191	28.571	49.451	68.132	85.714	96.703	2.929784775	0.075904645	11.51473999	117.4382629
19.23	249.97	26.523	10.481	14.6	16.42	18.431	20.85	38.537	58.049	73.659	87.805	97.561	28.35263634	0.22425589	10.96736336	137.8131104
15.3	152.8	23.148	10.939	13.059	14.279	15.52	16.359	35.542	54.217	71.084	86.145	96.988	10.91366863	0.193973392	12.41381741	142.795517
26.6	461.94	17.949	19.818	22.799	24.438	26.899	29.009	31.696	51.339	68.75	85.268	96.875	24.44388962	0.186673984	10.75247955	125.0488663
23.2	262.67	45.669	15.784	18.873	20.932	22.323	23.874	36.232	55.072	72.464	86.957	97.101	14.48100948	0.269730955	6.745522976	56.91086578
9.97	98.51	21.805	6.093	7.301	8.291	9.012	10.311	31.731	51.923	70.192	86.538	97.115	10.79424667	0.102148354	14.90893459	202.7155151
17.04	175.23	30.8	11.629	13.089	14.077	15.668	16.687	26.012	46.821	66.474	84.393	96.532	5.84269619	0.044399917	13.23118782	156.285141
17.89	305.7	5.263	12.839	14.519	15.95	18.48	21.901	30.093	50.926	69.444	86.111	97.222	7.229627609	0.209348023	13.75414848	171.8979034
9.8	76.71	35.398	6.432	7.422	8.252	9.182	11.271	30.137	50.685	69.863	86.301	97.26	2.341201544	0.117701888	12.1773777	132.39534
18.83	311.36	19.38	11.811	14.412	16.293	17.982	21.262	33.654	53.846	71.154	86.538	97.115	9.058019638	0.65334034	13.47553062	191.8391266
